epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.582,1.88098,3.06917,1.97075,0.13003,0.3625,0.10861,0.03297,2.36072,5.53136,2.63053,0.000464425,0.000464425,0.000464425
2,814.504,1.92539,2.45091,1.98418,0.13997,0.1875,0.06363,0.01851,2.85436,8.73406,3.24818,0.000922131,0.000922131,0.000922131
3,1228.46,1.95808,2.40504,2.03335,0.03928,0.125,0.03584,0.00961,3.41385,6.81689,3.94964,0.00136097,0.00136097,0.00136097
4,1697.11,2.01908,2.3542,2.11567,0.02061,0.2875,0.01233,0.00465,2.88373,57.1,3.47056,0.00134412,0.00134412,0.00134412
5,2130.64,2.00521,2.31905,2.08272,0.28969,0.0875,0.09011,0.02183,3.11245,5.67305,3.24607,0.00131582,0.00131582,0.00131582
6,2538.84,1.92774,2.31134,2.02953,0.18636,0.3375,0.16949,0.05629,2.47768,5.32031,2.89323,0.00128753,0.00128753,0.00128753
7,2953.06,1.88007,2.20127,1.96969,0.23273,0.2625,0.19537,0.06473,2.2886,4.47039,2.53322,0.00125923,0.00125923,0.00125923
8,3361.79,1.83998,2.08585,1.92038,0.34492,0.2,0.13121,0.03963,2.78132,3.1918,2.97244,0.00123094,0.00123094,0.00123094
9,3764.68,1.87131,2.1572,1.97278,0.35969,0.4125,0.2306,0.07206,2.35453,2.82201,2.51926,0.00120265,0.00120265,0.00120265
10,4171.51,1.82717,2.1011,1.93362,0.69308,0.175,0.25542,0.10842,2.43052,2.78626,2.56007,0.00117435,0.00117435,0.00117435
11,4579.3,1.81675,2.02274,1.94036,0.51597,0.30654,0.34085,0.14516,2.20531,3.23604,2.43816,0.00114606,0.00114606,0.00114606
12,4978.23,1.74983,1.92107,1.84616,0.39202,0.35,0.31325,0.10987,2.362,2.39613,2.52609,0.00111776,0.00111776,0.00111776
13,5367.1,1.7442,1.91383,1.87505,0.32904,0.375,0.27079,0.10802,2.25025,2.39747,2.53365,0.00108947,0.00108947,0.00108947
14,5898.92,1.69024,1.89243,1.83236,0.3154,0.4125,0.31081,0.10946,2.22699,2.44802,2.47309,0.00106118,0.00106118,0.00106118
15,6318.91,1.69562,1.91313,1.83722,0.60883,0.3375,0.34616,0.15737,2.17009,2.46419,2.37282,0.00103288,0.00103288,0.00103288
16,6733.78,1.64097,1.80594,1.78508,0.51092,0.425,0.39325,0.15206,2.2899,2.22208,2.40906,0.00100459,0.00100459,0.00100459
17,7131.15,1.61224,1.70793,1.73432,0.48829,0.475,0.45502,0.16751,2.32261,2.22434,2.57799,0.000976293,0.000976293,0.000976293
18,7539.53,1.57309,1.67591,1.72419,0.462,0.425,0.35567,0.15082,2.3222,2.23127,2.53102,0.000947999,0.000947999,0.000947999
19,7953.95,1.57928,1.65927,1.69599,0.53102,0.43877,0.43261,0.17507,2.18539,2.20006,2.41063,0.000919704,0.000919704,0.000919704
20,8365.04,1.54939,1.60619,1.68582,0.65133,0.5125,0.50352,0.20642,2.10566,1.99631,2.35409,0.00089141,0.00089141,0.00089141
21,8767.55,1.5102,1.53502,1.6699,0.5842,0.50934,0.4739,0.19439,2.08537,1.9585,2.28818,0.000863116,0.000863116,0.000863116
22,9196.42,1.56884,1.5678,1.70439,0.49198,0.58108,0.49739,0.21486,2.04612,1.92533,2.2395,0.000834822,0.000834822,0.000834822
23,9624.97,1.48262,1.46845,1.64655,0.69707,0.5375,0.56226,0.22816,2.05021,2.00019,2.2809,0.000806528,0.000806528,0.000806528
24,10004.3,1.46382,1.4125,1.62386,0.60259,0.55,0.58497,0.26671,2.01797,1.81104,2.21908,0.000778233,0.000778233,0.000778233
25,10388.4,1.45259,1.44788,1.61824,0.56564,0.56977,0.55126,0.22574,2.09722,1.94391,2.2745,0.000749939,0.000749939,0.000749939
26,10767.9,1.42058,1.37848,1.59267,0.61752,0.52473,0.5498,0.22625,2.12754,2.03084,2.32218,0.000721645,0.000721645,0.000721645
27,11172.1,1.38299,1.31923,1.55282,0.69459,0.5625,0.60611,0.25989,2.07603,1.76803,2.27441,0.000693351,0.000693351,0.000693351
28,11578.6,1.38571,1.30939,1.55959,0.64919,0.525,0.57801,0.24829,2.07856,1.78381,2.2941,0.000665057,0.000665057,0.000665057
29,11983.2,1.3252,1.22417,1.5179,0.72795,0.6,0.64264,0.22657,2.23003,1.75859,2.40915,0.000636762,0.000636762,0.000636762
30,12396.2,1.33384,1.21946,1.53276,0.74231,0.5625,0.6244,0.22944,2.07159,1.86763,2.25925,0.000608468,0.000608468,0.000608468
31,12811.8,1.31358,1.17808,1.49563,0.77321,0.59669,0.62193,0.28005,2.01641,1.63842,2.21445,0.000580174,0.000580174,0.000580174
32,13213.3,1.32923,1.20129,1.51012,0.70264,0.575,0.64963,0.24333,2.11707,1.73473,2.26404,0.00055188,0.00055188,0.00055188
33,13597.9,1.23624,1.146,1.44951,0.77239,0.59391,0.66305,0.28333,1.97882,1.70144,2.15388,0.000523586,0.000523586,0.000523586
34,14073.5,1.26197,1.13997,1.45596,0.78282,0.4625,0.59088,0.25054,2.20652,1.85782,2.3759,0.000495291,0.000495291,0.000495291
35,14515.1,1.20771,1.11101,1.43352,0.77537,0.56094,0.66587,0.26059,2.18655,1.79288,2.30032,0.000466997,0.000466997,0.000466997
36,14929.9,1.1838,1.04961,1.41328,0.75164,0.60532,0.67019,0.29456,2.059,1.65857,2.2667,0.000438703,0.000438703,0.000438703
37,15316.3,1.16889,1.0473,1.40073,0.7924,0.575,0.67088,0.28804,2.14391,1.60707,2.32794,0.000410409,0.000410409,0.000410409
38,15740.2,1.15388,1.01757,1.38967,0.68658,0.60245,0.63654,0.27566,2.11208,1.69051,2.29102,0.000382115,0.000382115,0.000382115
39,16148.5,1.11649,0.98203,1.36444,0.76559,0.61239,0.6691,0.28293,2.19256,1.65828,2.38647,0.00035382,0.00035382,0.00035382
40,16572.6,1.10686,0.97284,1.34777,0.76387,0.625,0.67672,0.29431,2.08349,1.54935,2.31635,0.000325526,0.000325526,0.000325526
41,17010.6,1.06251,0.82012,1.34902,0.72645,0.65,0.70303,0.30539,2.11795,1.48615,2.28256,0.000297232,0.000297232,0.000297232
42,17452.8,1.00176,0.73741,1.31407,0.70801,0.675,0.72067,0.30575,2.02231,1.59135,2.25429,0.000268938,0.000268938,0.000268938
43,17899.9,0.97922,0.72066,1.29603,0.88573,0.575,0.70612,0.32177,2.14038,1.60723,2.28888,0.000240644,0.000240644,0.000240644
44,18350.9,0.95148,0.70315,1.27931,0.73763,0.6875,0.72852,0.34316,2.06945,1.50576,2.31391,0.000212349,0.000212349,0.000212349
45,18785.3,0.9145,0.67173,1.24014,0.80508,0.65,0.73484,0.33624,2.08705,1.4897,2.32661,0.000184055,0.000184055,0.000184055
46,19229.1,0.88057,0.62953,1.22167,0.8018,0.65,0.71741,0.31532,2.0483,1.45304,2.35484,0.000155761,0.000155761,0.000155761
47,19675,0.8597,0.6083,1.21877,0.80508,0.65,0.72442,0.32141,2.07224,1.5106,2.34379,0.000127467,0.000127467,0.000127467
48,20109.6,0.8056,0.57461,1.17868,0.87183,0.59522,0.73839,0.32551,2.0566,1.46603,2.36526,9.91726e-05,9.91726e-05,9.91726e-05
49,20527.5,0.82348,0.58819,1.18974,1,0.58582,0.74822,0.33737,2.05222,1.46517,2.36308,7.08784e-05,7.08784e-05,7.08784e-05
50,20920.5,0.80364,0.57857,1.18432,0.80802,0.65,0.73763,0.33666,2.02424,1.43518,2.32633,4.25842e-05,4.25842e-05,4.25842e-05
